Intel,21138,BrandFinance,2013
Disney,20548,BrandFinance,2013
Mercedes-Benz,20298,BrandFinance,2013
Santander,20119,BrandFinance,2013
Hyundai Group,19906,BrandFinance,2013
ICBC,19820,BrandFinance,2013
Mitsubishi (Conglomerate),19723,BrandFinance,2013
Siemens,19647,BrandFinance,2013
Ford,19623,BrandFinance,2013
American Express,19004,BrandFinance,2013
Pepsi,18701,BrandFinance,2013
BNP Paribas,18573,BrandFinance,2013
ExxonMobil,16907,BrandFinance,2013
Tata Group,18169,BrandFinance,2013
Nestlé,18075,BrandFinance,2013
Tesco,17918,BrandFinance,2013
Nissan,17646,BrandFinance,2013
Chevron,17674,BrandFinance,2013
Target,17460,BrandFinance,2013
Mitsui Group,17358,BrandFinance,2013
China Construction Bank,16949,BrandFinance,2013
GDF Suez,16686,BrandFinance,2013
Hitachi Group,16588,BrandFinance,2013
UPS,16572,BrandFinance,2013
IKEA,16570,BrandFinance,2013
PwC,16375,BrandFinance,2013
Orange,16342,BrandFinance,2013
Honda,16114,BrandFinance,2013
HP,16113,BrandFinance,2013
Oracle,16047,BrandFinance,2013
Agricultural Bank of China,15967,BrandFinance,2013
Marlboro,15964,BrandFinance,2013
Cisco,15468,BrandFinance,2013
AXA,15031,BrandFinance,2013
Nike,14942,BrandFinance,2013
Toshiba,14715,BrandFinance,2013
Deutsche Bank,14572,BrandFinance,2013
Sberbank,14160,BrandFinance,2013
Bank of China,14145,BrandFinance,2013
JP Morgan,13775,BrandFinance,2013
Bradesco,13610,BrandFinance,2013
Sinopec,13518,BrandFinance,2013
Barclays,13436,BrandFinance,2013
Total,13311,BrandFinance,2013
 CVS Health,13136,BrandFinance,2013
PetroChina,12994,BrandFinance,2013
Deloitte,12812,BrandFinance,2013
ING (Group),12787,BrandFinance,2013
Comcast,12765,BrandFinance,2013
Allianz,12657,BrandFinance,2013
Sam's Club,12466,BrandFinance,2013
Itaú,12442,BrandFinance,2013
Walgreens,12330,BrandFinance,2013
T (Deutsche Telekom),21543,BrandFinance,2013
BP,11940,BrandFinance,2013
Olay,3955,BrandFinance,2013
MUFG,11596,BrandFinance,2013
3M,11472,BrandFinance,2013
Movistar,11135,BrandFinance,2013
KPMG,10986,BrandFinance,2013
eBay,10893,BrandFinance,2013
FedEx,10572,BrandFinance,2013
SAP,10511,BrandFinance,2013
TD,10401,BrandFinance,2013
RBC,10277,BrandFinance,2013
Generali,10183,BrandFinance,2013
EY,10052,BrandFinance,2013
China Telecom,9974,BrandFinance,2013
Banco do Brasil,9883,BrandFinance,2013
SoftBank,9869,BrandFinance,2013
Credit Suisse,9820,BrandFinance,2013
Lowe's,9612,BrandFinance,2013
Sony,9597,BrandFinance,2013
Panasonic,9589,BrandFinance,2013
Kellogg's,7068,BrandFinance,2013
Apple,104680,BrandFinance,2014
Samsung Group,78752,BrandFinance,2014
Google,68620,BrandFinance,2014
